Product,State,n_months,prophet_mse,prophet_rmse,prophet_mae,prophet_mape,sarima_mse,sarima_rmse,sarima_mae,sarima_mape,chosen_model,notes
STUDENT LOAN,NJ,48,,,,,7.800049237993517,2.792856823754758,2.2678690231117677,0.800344421103318,SARIMA,
CHECKING OR SAVINGS ACCOUNT,DE,47,,,,,1.2768587361339239,1.1299817415046687,0.9272045784508522,0.7306631168189747,SARIMA,
DEBT COLLECTION,NE,47,,,,,11.09882913232529,3.331490527125252,3.0081855091075944,1.8576246400464569,SARIMA,
MORTGAGE,AL,47,,,,,3.854290023374721,1.9632345818507582,1.7286922809934797,0.8034213385566376,SARIMA,
MORTGAGE,WI,47,,,,,1.9160136357230826,1.3842014433322494,0.7094762783696537,0.27557340071230274,SARIMA,
VEHICLE LOAN OR LEASE,AL,47,,,,,2.2236321466598965,1.4911848130462892,1.1957375798668937,0.48179132798768404,SARIMA,
VEHICLE LOAN OR LEASE,LA,47,,,,,4.212845842146509,2.0525218250110053,2.0018856394551454,1.0918166734476378,SARIMA,
CHECKING OR SAVINGS ACCOUNT,IA,46,,,,,1.4739583333333333,1.2140668570277888,1.1666666666666667,0.7378472222222223,SARIMA,
CHECKING OR SAVINGS ACCOUNT,WV,46,,,,,4.989069515447678,2.2336225096125077,1.9365917966388178,0.7004623559223129,SARIMA,
"MONEY TRANSFER, VIRTUAL CURRENCY, OR MONEY SERVICE",LA,46,,,,,17.78916666666667,4.2177205534111275,3.433333333333333,0.6787896825396826,SARIMA,
VEHICLE LOAN OR LEASE,IN,46,,,,,2.0,1.4142135623730951,1.3333333333333333,0.861111111111111,SARIMA,
VEHICLE LOAN OR LEASE,MO,46,,,,,1.829099089532226,1.3524418987639455,1.126338675359612,0.5042630305400225,SARIMA,
CHECKING OR SAVINGS ACCOUNT,UT,45,,,,,5.233032846089477,2.2875823146041054,1.929195775831,1.4220573574293518,SARIMA,
